utterance_id,audio_path,language,speaker_id,gender,transcription_raw,duration_sec,noise_level_db,collection_source,quality_flag,transcription_normalized
utt_0001,s3://india-speaks/raw/bn/utt_0001.wav,hi,7a7a657a,Other,naam hai kaise,4.16,43.35,studio,-1,nam hai kaise
utt_0002,s3://india-speaks/raw/ml/utt_0002.wav,kn,6193b089,F,mera hu se se,4.5,56.63,crowdsourced,1,mera hu se se
utt_0003,s3://india-speaks/raw/pa/utt_0003.wav,pa,7e108484,F,hu se hai dilli hai naam,4.22,38.11,studio,1,hu se hai dilli hai naam
utt_0006,s3://india-speaks/raw/kn/utt_0006.wav,hi,41f6a578,F,naam hai kaise,1.35,42.22,crowdsourced,-1,nam hai kaise
utt_0007,s3://india-speaks/raw/gu/utt_0007.wav,ur,c86f84d5,Other,hai naam hai namaste kaise se aaya hai kaise,1.4,29.84,call-center,1,hai naam hai namaste kaise se aaya hai kaise
utt_0008,s3://india-speaks/raw/pa/utt_0008.wav,gu,8521162c,M,ho kaise swagat,4.97,53.73,studio,-1,ho kaise swagat
utt_0009,s3://india-speaks/raw/mr/utt_0009.wav,pa,8341d7f7,F,naam se aaya aapka,1.88,51.19,call-center,-1,naam se aaya aapka
utt_0010,s3://india-speaks/raw/hi/utt_0010.wav,hi,74b75b9a,Other,ho dilli ho hai se namaste kaise ho,3.58,34.34,studio,1,ho dilli ho hai se namaste kaise ho
utt_0011,s3://india-speaks/raw/ur/utt_0011.wav,bn,ef3e07d9,Other,kaise aaya se aapka kaise kaise kaise namaste,1.42,31.98,studio,1,kaise aaya se aapka kaise kaise kaise namaste
utt_0014,s3://india-speaks/raw/ml/utt_0014.wav,te,533b2aeb,F,aaya naam kaise hai kaise aapka aaya aaya,1.1,47.07,call-center,1,aaya naam kaise hai kaise aapka aaya aaya
utt_0017,s3://india-speaks/raw/ta/utt_0017.wav,bn,00ed11e9,M,ho hai aaya kaise hu swagat hai,3.43,23.6,crowdsourced,1,ho hai aaya kaise hu swagat hai
utt_0018,s3://india-speaks/raw/ta/utt_0018.wav,te,1a9ec9d1,M,dilli kaise naam swagat namaste se aaya,1.36,23.02,studio,-1,dilli kaise naam swagat namaste se aaya
utt_0020,s3://india-speaks/raw/ur/utt_0020.wav,ml,aad7f1b9,F,hai aaya kaise swagat ho kaise kaise swagat mera,1.6,47.34,call-center,-1,hai aaya kaise swagat ho kaise kaise swagat mera
